annee,charbon,gaz,hydro,autre,pv,petrole,eolien,nucleaire
1985,3747.634,1422.361,1979.775,77.792,0.012,1108.761,0.064,1488.922
1986,3838.27,1428.758,2006.572,85.579,0.015,1166.249,0.139,1594.736
1987,4057.283,1512.935,2033.7060,91.643,0.011,1181.022,0.195,1734.733
1988,4199.198,1536.549,2098.721,94.281,0.01,1254.288,0.332,1891.249
1989,4377.118,1724.386,2087.571,104.348,0.262,1346.722,2.65,1945.011
1990,4460.397,1785.086,2158.906,116.96,0.388,1364.578,3.632,2000.462
1991,4557.359,1811.07,2209.41,121.983,0.505,1349.785,4.087,2096.175
1992,4650.556,1822.876,2209.074,130.942,0.469,1327.673,4.733,2112.089
1993,4727.105,1856.381,2341.245,135.282,0.557,1265.84,5.698,2184.826
1994,4892.752,1917.401,2356.882,140.41,0.6,1301.392,7.123,2225.844
1995,5039.42,2028.077,2485.633,146.362,0.641,1258.853,8.262,2322.396
1996,5279.991,2090.276,2520.499,150.566,0.705,1244.689,9.205,2406.801
1997,5395.739,2258.306,2566.135,161.287,0.757,1244.306,12.018,2390.277
1998,5507.309,2394.399,2586.942,168.762,0.832,1294.885,15.921,2431.38
1999,5626.914,2586.885,2605.676,177.393,0.916,1266.92,21.216,2524.361
2000,5575.449,2662.157,2610.869,219.793,1.069,1180.099,31.481,2497.065
2001,5680.707,2814.8,2551.315,217.947,1.341,1164.284,38.411,2566.265
2002,5919.096,3014.523,2588.042,233.01,1.715,1153.73,52.712,2594.152
2003,6293.426,3141.98,2603.144,244.987,2.096,1170.729,64.651,2568.062
2004,6530.983,3382.723,2770.229,259.803,2.771,1162.56,84.742,2668.129
2005,6829.21,3547.627,2883.295,280.261,3.844,1182.892,104.692,2677.217
2006,7241.922,3760.551,2981.825,295.19,5.171,1119.681,132.522,2714.879
2007,7734.073,4066.667,3033.772,312.92,7.005,1156.987,171.359,2660.732
2008,7742.601,4193.065,3156.836,339.18,11.432,1129.028,219.436,2650.26
2009,7647.303,4208.548,3186.507,355.813,19.415,1069.412,277.639,2612.307
2010,8240.26,4634.235,3385.722,406.001,30.518,1055.834,346.471,2681.477
2011,8660.378,4712.769,3453.919,430.827,60.01,1172.288,440.544,2570.885
2012,8632.016,4963.669,3631.694,467.484,95.725,1226.726,531.516,2397.98
2013,9029.284,4858.204,3747.992,503.844,132.293,1211.103,643.259,2414.361
2014,9028.559,4987.205,3849.512,539.833,197.01,1166.525,720.608,2462.99
2015,8805.063,5316.752,3864.432,558.737,254.668,1189.518,828.648,2496.121
2016,8777.799,5516.398,4019.517,592.389,329.564,1202.601,958.942,2528.234
2017,9009.211,5620.225,4075.455,622.176,443.315,1120.936,1135.069,2543.99
2018,9345.341,5743.356,4209.222,663.847,572.908,1144.42,1266.086,2614.391
2019,9081.622,5943.112,4261.241,682.877,704.024,1089.308,1416.947,2720.674
2020,8735.799,5892.439,4355.042,702.888,844.386,1128.393,1590.189,2616.612
